Player,Tm,FantPos,PPR,-9999
Kylen Granson,IND,TE,4.87,GranKy00
Noah Gray,KAN,TE,4.15,GrayNo00
Jamaal Williams,NOR,RB,4.68,WillJa06
Jordan Mason,SFO,RB,2.63,MasoJo00
Jonathan Mingo,CAR,WR,5.65,MingJo00
Elijah Mitchell,SFO,RB,4.32,MitcEl00
Greg Dortch,ARI,WR,4.03,DortGr01
Noah Fant,SEA,TE,4.32,FantNo00
Tanner Hudson,CIN,TE,6.68,HudsTa00
Luke Musgrave,GNB,TE,6.84,MusgLu00
Chase Brown,CIN,RB,4.46,BrowCh10
Mason Rudolph,PIT,QB,9.90,RudoMa00
Isaiah Hodgins,NYG,WR,3.53,HodgIs00
DeVante Parker,NWE,WR,5.57,ParkDe01
Jake Bobo,SEA,WR,3.35,BoboJa00
Xavier Gipson,NYJ,WR,3.45,GipsXa00
Trenton Irwin,CIN,WR,3.91,IrwiTr00
Brandon Powell,MIN,WR,3.95,PoweBr00
Pierre Strong,CLE,RB,2.52,StroPi00
Adam Trautman,DEN,TE,3.55,TrauAd00
Jalin Hyatt,NYG,WR,3.55,HyatJa00
Allen Lazard,NYJ,WR,4.29,LazaAl00
Colby Parkinson,SEA,TE,3.63,ParkCo02
Durham Smythe,MIA,TE,4.47,SmytDu00
Jalen Tolbert,DAL,WR,3.46,TolbJa00
Tommy Tremble,CAR,TE,3.77,TremTo00
Cam Akers,2TM,RB,6.67,AkerCa00
Mo Alie-Cox,IND,TE,2.89,AlieMo00
Calvin Austin III,PIT,WR,3.10,AustCa00
Mike Gesicki,NWE,TE,3.85,GesiMi00
Andrei Iosivas,CIN,WR,3.16,IosiAn00
Chris Rodriguez,WAS,RB,2.92,RodrCh00
Marquez Valdes-Scantling,KAN,WR,3.53,ValdMa00
David Bell,CLE,WR,3.25,BellDa02
Michael Carter,2TM,RB,3.92,CartMi03
Darrell Henderson,LAR,RB,10.9,HendDa00
Lil'Jordan Humphrey,DEN,WR,2.78,HumpLi01
Brevin Jordan,HOU,TE,3.64,JordBr00
Jauan Jennings,SFO,WR,3.96,JennJa00
Dawson Knox,BUF,TE,4.55,KnoxDa00
Kendre Miller,NOR,RB,5.41,MillKe01
Skyy Moore,KAN,WR,3.84,MoorSk01
JuJu Smith-Schuster,NWE,WR,5.55,SmitJu00
Braxton Berrios,MIA,WR,3.62,BerrBr00
Josh Oliver,MIN,TE,3.14,OlivJo00
Mike Williams,LAC,WR,16.7,WillMi07
Matt Breida,NYG,RB,2.76,BreiMa00
Bo Melton,GNB,WR,9.18,MeltBo00
Alex Erickson,LAC,WR,5.65,EricAl01
Drew Lock,SEA,QB,7.28,LockDr00
Andrew Beck,HOU,FB,2.59,BeckAn01
Jimmy Graham,NOR,TE,2.61,GrahJi00
Scott Miller,ATL,WR,2.30,MillSc01
Cordarrelle Patterson,ATL,RB,2.64,PattCo00
Allen Robinson,PIT,WR,3.65,RobiAl02
Drew Sample,CIN,TE,2.96,SampDr00
Olamide Zaccheaus,PHI,WR,2.26,ZaccOl01
Salvon Ahmed,MIA,RB,5.36,AhmeSa01
Andrew Ogletree,IND,TE,2.98,OgleAn00
Trevor Siemian,NYJ,QB,5.40,SiemTr00
Jarrett Stidham,DEN,QB,8.87,StidJa00
Jeff Wilson,MIA,RB,4.13,WilsJe01
Jamal Agnew,JAX,WR,3.66,AgneJa00
Daniel Bellinger,NYG,TE,2.97,BellDa00
Chase Edmonds,TAM,RB,3.05,EdmoCh00
